ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
1852 5B_D5 5B_2654 0.404792137931035 0.371724137931034
1853 5B_B9 5B_2276 0.100510620689655 0.0627586206896552
1854 5B_B2 5B_1950 0.209188965517241 0.162068965517241
1855 5B_D5 5B_2694 0.415136965517241 0.382068965517241
1856 5B_B7 5B_2694 0.38755075862069 0.35448275862069
1857 5B_D3 5B_2578 0.420797793103448 0.392413793103448
1858 5B_B7 5B_1963 0.322033517241379 0.288965517241379
1859 5B_D11 5B_2143 0.279489931034483 0.104137931034483
1860 5B_D4 5B_1752 0.370999034482759 0.337931034482759
1861 5B_D11 5B_2356 0.331545103448276 0.293793103448276
1862 5B_D4 5B_2143 0.441889931034483 0.404137931034483
1863 5B_B2 5B_2654 0.0513576551724138 -0.119310344827586
1864 5B_D6 5B_2139 0.218039172413793 0.189655172413793
1865 5B_B2 5B_2587 0.591545103448276 0.553793103448276
1866 5B_D3 5B_2654 0.272378344827586 0.239310344827586
1867 5B_D4 5B_2139 0.563556413793104 0.535172413793103
1868 5B_B8 5B_2654 0.432378344827586 0.399310344827586
1869 5B_B2 5B_1963 0.442033517241379 0.408965517241379
1870 5B_B7 5B_1950 0.396085517241379 0.348965517241379
1871 5B_D11 5B_1963 0.335136965517241 0.302068965517241
1872 5B_B7 5B_2701 0.441200275862069 0.403448275862069
1873 5B_D4 5B_2139 0.385294344827586 0.219310344827586
1874 5B_B7 5B_2578 0.511142620689655 0.482758620689655
1875 5B_B8 5B_2587 0.674993379310345 0.637241379310345
1876 5B_D3 5B_2597 0.488384 0.46
1877 5B_B7 5B_2693 0.385007172413793 0.209655172413793
2415 6D_D09 6D_609 0.491804689655172 0.478620689655172
2416 6D_D05 6D_833 0.420080551724138 0.406896551724138
2417 6D_D08 6D_926 0.359749517241379 0.208965517241379
2418 6D_D06 6D_926 0.353873655172414 0.340689655172414
2419 6D_D03 6D_926 0.144218482758621 0.131034482758621
2420 6D_D09 6D_638 0.156157655172414 0.000689655172413778
2421 6D_D03 6D_1016 0.593873655172414 0.580689655172414
2422 6D_D03 6D_443 0.583528827586207 0.570344827586207
2423 6D_D04 6D_578 0.479247310344828 0.461379310344828
2424 6D_D07 6D_609 0.542149517241379 0.528965517241379
2425 6D_D10 6D_651 0.366287448275862 0.353103448275862
2426 6D_D05 6D_934 0.362364551724138 0.206896551724138
2427 6D_D08 6D_1047 0.250971448275862 0.233103448275862
2428 6D_D03 6D_578 0.537178344827586 0.519310344827586
2429 6D_D09 6D_644 0.616632275862069 0.603448275862069
2430 6D_D06 6D_1047 0.313040413793103 0.295172413793103
2431 6D_D08 6D_651 0.415252965517241 0.402068965517241
2432 6D_D05 6D_647 0.410425379310345 0.397241379310345
2433 6D_D09 6D_833 0.277321931034483 0.264137931034483
2434 6D_D07 6D_833 0.360080551724138 0.346896551724138
2435 6D_D10 6D_642 0.284908137931035 0.271724137931035
2436 6D_D08 6D_642 0.173873655172414 0.160689655172414
2437 6D_D05 6D_443 0.323887448275862 0.173103448275862
2438 6D_D04 6D_1134 0.391661103448276 0.373793103448276
2439 6D_D07 6D_1016 0.380770206896552 0.367586206896552
2440 6D_D09 6D_644 0.133184 0.12
2441 6D_D06 6D_627 0.427523172413793 0.409655172413793
2442 6D_D08 6D_1016 0.471473655172414 0.320689655172414
2443 6D_D10 6D_651 0.31870124137931 0.30551724137931
2444 6D_D06 6D_642 0.382149517241379 0.368965517241379
2445 6D_D10 6D_934 0.290971448275862 0.273103448275862
2446 6D_D10 6D_651 0.219749517241379 0.0689655172413793
2447 6D_D08 6D_1130 0.343743862068966 0.188275862068966
2448 6D_D07 6D_1016 0.111115034482759 0.0979310344827586
